id,first,last,PA1,accScore,score
tejar001,Ruben,Tejada,1403,26.212710,0.0186833286
cairm001,Miguel,Cairo,687,12.833300,0.0186802038
lowrj001,Jed,Lowrie,1666,31.070040,0.0186494838
ramim002,Manny,Ramirez,348,6.487210,0.0186414080
edmoj001,Jim,Edmonds,279,5.192290,0.0186103584
ruf-d001,Darin,Ruf,337,6.270990,0.0186082789
shucj001,J.B.,Shuck,585,10.865570,0.0185736239
bourp001,Peter,Bourjos,1173,21.772360,0.0185612617
burrb001,Brian,Burres,31,0.574790,0.0185416129
pujoa001,Albert,Pujols,2634,48.781140,0.0185197950
ellsj001,Jacoby,Ellsbury,1885,34.814710,0.0184693422
cabrm002,Melky,Cabrera,2178,40.194870,0.0184549449
heltt001,Todd,Helton,1773,32.687160,0.0184360745
kempm001,Matt,Kemp,2169,39.973010,0.0184292347
cuddm001,Michael,Cuddyer,2263,41.659540,0.0184089881
damoj001,Johnny,Damon,1583,29.114810,0.0183921731
uptoj001,Justin,Upton,2653,48.783030,0.0183878741
moraj002,Jose,Morales,118,2.169000,0.0183813559
butlb003,Billy,Butler,2842,52.217350,0.0183734518
maybj001,John,Mayberry,1204,22.112130,0.0183655565
rasmc001,Colby,Rasmus,2225,40.862380,0.0183651146
pench001,Hunter,Pence,2887,52.978550,0.0183507274
waina001,Adam,Wainwright,277,5.080760,0.0183420939
parra001,Andy,Parrino,238,4.362550,0.0183300420
gentc001,Craig,Gentry,779,14.277360,0.0183278049
gregd001,Didi,Gregorius,437,7.995940,0.0182973455
martv001,Victor,Martinez,1929,35.283140,0.0182908968
maiem001,Mitch,Maier,637,11.645900,0.0182824176
byrdm001,Marlon,Byrd,1924,35.173660,0.0182815281
manzt001,Tommy,Manzella,290,5.298580,0.0182709655
hartc001,Corey,Hart,1883,34.391520,0.0182642167
casia001,Alexi,Casilla,1027,18.726870,0.0182345375
hermj001,Jeremy,Hermida,337,6.140220,0.0182202374
vittj001,Josh,Vitters,114,2.077000,0.0182192982
dozib001,Brian,Dozier,998,18.153760,0.0181901403
loper001,Rodrigo,Lopez,106,1.925610,0.0181661321
harpb003,Bryce,Harper,1147,20.834320,0.0181641848
herre001,Elian,Herrera,238,4.321720,0.0181584874
walkn001,Neil,Walker,2337,42.403210,0.0181442918
martf002,Fernando,Martinez,217,3.919630,0.0180628111
torra001,Andres,Torres,1814,32.738380,0.0180476185
kubej002,Jason,Kubel,1927,34.716090,0.0180156149
goldp001,Paul,Goldschmidt,1544,27.815880,0.0180154663
ramim003,Max,Ramirez,85,1.528990,0.0179881176
johnn001,Nick,Johnson,206,3.701300,0.0179674757
greet005,Taylor,Green,159,2.855520,0.0179592453
kendh001,Howie,Kendrick,2436,43.733660,0.0179530624
cruzt002,Tony,Cruz,341,6.120690,0.0179492375
fielp001,Prince,Fielder,3060,54.924190,0.0179490817
martl002,Luis,Martinez,88,1.578380,0.0179361364
gardb001,Brett,Gardner,1922,34.466140,0.0179324350
castl001,Luis,Castillo,313,5.609610,0.0179220767
myerb001,Brett,Myers,148,2.652410,0.0179216892
pie-f001,Felix,Pie,525,9.398690,0.0179022667
rutlj001,Josh,Rutledge,624,11.167820,0.0178971474
cloyt001,Tyler,Cloyd,36,0.644140,0.0178927778
cowgc001,Collin,Cowgill,388,6.937280,0.0178795876
huntt001,Torii,Hunter,2721,48.627620,0.0178712312
suppj001,Jeff,Suppan,43,0.767330,0.0178448837
tolls001,Steven,Tolleson,137,2.444390,0.0178422628
andir001,Robert,Andino,1143,20.392070,0.0178408311
