id,PA2,AccVal,val
franj004,2120,16.993640,0.0080158679
davir003,1810,14.495150,0.0080083702
blanh001,497,3.968220,0.0079843461
howar001,2044,16.304080,0.0079765558
hardj003,2416,19.270090,0.0079760306
rober002,1337,10.648940,0.0079648018
milea001,655,5.216890,0.0079647176
torry001,1250,9.955220,0.0079641760
gomec002,1684,13.407500,0.0079616983
jacom001,53,0.421710,0.0079567925
sancj002,116,0.922340,0.0079512069
mccua001,2800,22.249940,0.0079464071
cespy001,1193,9.479970,0.0079463286
cataf001,26,0.206560,0.0079446154
riosa002,2590,20.574790,0.0079439344
tejar001,1403,11.137990,0.0079386957
nieuk001,431,3.421290,0.0079380278
wilsm002,28,0.221760,0.0079200000
johnr009,528,4.176490,0.0079100189
rhymw001,467,3.693870,0.0079097859
whita001,48,0.379590,0.0079081250
canor001,2943,23.265840,0.0079054842
joycm001,1838,14.520990,0.0079004298
pierj002,2267,17.832990,0.0078663388
hanst001,181,1.421430,0.0078532044
scalb001,20,0.157060,0.0078530000
paulr001,670,5.261300,0.0078526866
guyeb001,50,0.392580,0.0078516000
cowgc001,388,3.045780,0.0078499485
smits002,1876,14.715340,0.0078439979
gimeh001,104,0.815520,0.0078415385
youkk001,1634,12.775330,0.0078184394
martl002,88,0.687470,0.0078121591
staim001,195,1.520980,0.0077998974
swisn001,2731,21.290630,0.0077959099
lowrj001,1666,12.977770,0.0077897779
descd001,1320,10.280080,0.0077879394
hudsd001,130,1.012360,0.0077873846
procs001,3,0.023360,0.0077866667
cozaz001,1325,10.313930,0.0077840981
davii001,1784,13.882930,0.0077819114
escoy001,2456,19.106650,0.0077795806
denoc001,1636,12.712900,0.0077707213
navae001,18,0.139790,0.0077661111
ellsj001,1885,14.637630,0.0077653210
posaj001,915,7.102920,0.0077627541
johnc003,1896,14.712510,0.0077597627
haraa001,178,1.380630,0.0077563483
cainm001,328,2.542830,0.0077525305
gonzm002,465,3.602580,0.0077474839
mcbrm002,86,0.665670,0.0077403488
suttd002,240,1.855390,0.0077307917
bowkj001,201,1.551050,0.0077166667
seguj002,832,6.419590,0.0077158534
